Run,DD,MM,YYYY,Vial_no,Sample name,Type,Calib_ppm,Dilution
1,20,11,2019,1,STD_DIWATER,blank,0,1
1,20,11,2019,2,STD_DIWATER,blank,0,1
1,20,11,2019,3,STD_1PPM,calibration,1,1
1,20,11,2019,4,STD_2PPM,calibration,2,1
1,20,11,2019,5,STD_5PPM,calibration,5,1
1,20,11,2019,6,STD_10PPM,calibration,10,1
1,20,11,2019,7,STD_20PPM,calibration,20,1
1,20,11,2019,8,16,sample,,1
1,20,11,2019,9,17,sample,,1
1,20,11,2019,10,18,sample,,1
1,20,11,2019,11,19,sample,,1
1,20,11,2019,12,20,sample,,1
1,20,11,2019,13,21,sample,,1
1,20,11,2019,14,22,sample,,1
1,20,11,2019,15,23,sample,,1
1,20,11,2019,16,24,sample,,1
1,20,11,2019,17,25,sample,,1
1,20,11,2019,18,26,sample,,1
1,20,11,2019,19,27,sample,,1
1,20,11,2019,20,28,sample,,1
1,20,11,2019,21,29,sample,,1
1,20,11,2019,22,30,sample,,1
1,20,11,2019,23,31,sample,,1
1,20,11,2019,24,32,sample,,1
1,20,11,2019,25,33,sample,,1
1,20,11,2019,26,34,sample,,1
1,20,11,2019,27,35,sample,,1
1,20,11,2019,28,36,sample,,1
1,20,11,2019,29,37,sample,,1
1,20,11,2019,30,38,sample,,1
1,20,11,2019,31,39,sample,,1
1,20,11,2019,32,40,sample,,1
1,20,11,2019,33,41,sample,,1
1,20,11,2019,34,42,sample,,1
1,20,11,2019,35,43,sample,,1
1,20,11,2019,36,44,sample,,1
1,20,11,2019,37,45,sample,,1
1,20,11,2019,38,QC-BLANK,QAQC,,1
1,20,11,2019,39,QC-10PPM,QAQC,,1
1,20,11,2019,40,71,sample,,1
1,20,11,2019,41,72,sample,,1
1,20,11,2019,42,73,sample,,1
1,20,11,2019,43,74,sample,,1
1,20,11,2019,44,75,sample,,1
1,20,11,2019,45,76,sample,,1
1,20,11,2019,46,77,sample,,1
1,20,11,2019,47,78,sample,,1
1,20,11,2019,48,79,sample,,1
1,20,11,2019,49,80,sample,,1
1,20,11,2019,50,81,sample,,1
1,20,11,2019,51,82,sample,,1
1,20,11,2019,52,83,sample,,1
1,20,11,2019,53,84,sample,,1
1,20,11,2019,54,85,sample,,1
1,20,11,2019,55,86,sample,,1
1,20,11,2019,56,87,sample,,1
1,20,11,2019,57,88,sample,,1
1,20,11,2019,58,89,sample,,1
1,20,11,2019,59,90,sample,,1
1,20,11,2019,60,91,sample,,1
1,20,11,2019,61,92,sample,,1
1,20,11,2019,62,93,sample,,1
1,20,11,2019,63,94,sample,,1
1,20,11,2019,64,95,sample,,1
1,20,11,2019,65,96,sample,,1
1,20,11,2019,66,97,sample,,1
1,20,11,2019,67,98,sample,,1
1,20,11,2019,68,99,sample,,1
1,20,11,2019,69,100,sample,,1
1,20,11,2019,70,111,sample,,1
1,20,11,2019,71,112,sample,,1
1,20,11,2019,72,113,sample,,1
1,20,11,2019,73,114,sample,,1
1,20,11,2019,74,115,sample,,1
1,20,11,2019,75,116,sample,,1
1,20,11,2019,76,117,sample,,1
1,20,11,2019,77,118,sample,,1
1,20,11,2019,78,119,sample,,1
1,20,11,2019,79,120,sample,,1
1,20,11,2019,80,121,sample,,1
1,20,11,2019,81,122,sample,,1
1,20,11,2019,82,121-REP,QAQC,,1
1,20,11,2019,83,QC-BLANK,QAQC,,1
1,20,11,2019,84,QC-10PPM,QAQC,,1
2,21,11,2019,2-1,STD_DIWATER,calibration,,1
2,21,11,2019,2-2,STD_DIWATER,calibration,,1
2,21,11,2019,2-3,STD_1PPM,calibration,,1
2,21,11,2019,2-4,STD_2PPM,calibration,,1
2,21,11,2019,2-5,STD_5PPM,calibration,,1
2,21,11,2019,2-6,STD_10PPM,calibration,,1
2,21,11,2019,2-7,STD_20PPM,calibration,,1
2,21,11,2019,2-8,STD_40PPM,calibration,,1
2,21,11,2019,2-9,STD_60PPM,calibration,,1
2,21,11,2019,2-10,STD_100PPM,calibration,,1
2,21,11,2019,2-11,123,sample,,1
2,21,11,2019,2-12,124,sample,,1
2,21,11,2019,2-13,125,sample,,1
2,21,11,2019,2-14,126,sample,,1
2,21,11,2019,2-15,127,sample,,1
2,21,11,2019,2-16,128,sample,,1
2,21,11,2019,2-17,129,sample,,1
2,21,11,2019,2-18,130,sample,,1
2,21,11,2019,2-19,131,sample,,1
2,21,11,2019,2-20,132,sample,,1
2,21,11,2019,2-21,133,sample,,1
2,21,11,2019,2-22,134,sample,,1
2,21,11,2019,2-23,135,sample,,1
2,21,11,2019,2-24,136,sample,,1
2,21,11,2019,2-25,137,sample,,1
2,21,11,2019,2-26,138,sample,,1
2,21,11,2019,2-27,139,sample,,1
2,21,11,2019,2-28,140,sample,,1
2,21,11,2019,2-29,QC-BLANK,QAQC,,1
2,21,11,2019,2-30,QC-60PPM,QAQC,,1
2,21,11,2019,2-31,141,sample,,1
2,21,11,2019,2-32,142,sample,,1
2,21,11,2019,2-33,143,sample,,1
2,21,11,2019,2-34,144,sample,,1
2,21,11,2019,2-35,145,sample,,1
2,21,11,2019,2-36,146,sample,,1
2,21,11,2019,2-37,147,sample,,1
2,21,11,2019,2-38,148,sample,,1
2,21,11,2019,2-39,149,sample,,1
2,21,11,2019,2-40,150,sample,,1
2,21,11,2019,2-41,151,sample,,1
2,21,11,2019,2-42,152,sample,,1
2,21,11,2019,2-43,153,sample,,1
2,21,11,2019,2-44,154,sample,,1
2,21,11,2019,2-45,155,sample,,1
2,21,11,2019,2-46,156,sample,,1
2,21,11,2019,2-47,157,sample,,1
2,21,11,2019,2-48,158,sample,,1
2,21,11,2019,2-49,159,sample,,1
2,21,11,2019,2-50,160,sample,,1
2,21,11,2019,2-51,REP-160,QAQC,,1
2,21,11,2019,2-52,QC1,sample,,1
2,21,11,2019,2-53,QC2,sample,,1
2,21,11,2019,2-54,QC3,sample,,1
2,21,11,2019,2-55,BL1,sample,,1
2,21,11,2019,2-56,BL2,sample,,1
2,21,11,2019,2-57,BL3,sample,,1
2,21,11,2019,2-58,BL4,sample,,1
2,21,11,2019,2-59,BL5,sample,,1
2,21,11,2019,2-60,BL6,sample,,1
2,21,11,2019,2-61,BL7,sample,,1
2,21,11,2019,2-62,QC-BLANK,QAQC,,1
2,21,11,2019,2-63,QC-60PPM,QAQC,,1
2,21,11,2019,2-64,DIWATER1,,,1
2,21,11,2019,2-65,DIWATER1,,,1
2,21,11,2019,2-66,DIWATER2,,,1
2,21,11,2019,2-67,DIWATER2,,,1