,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.35,67.6,0.66,589.58,Artifact,Weak,,,25,3.95,206.4,9.46,22102.6,Compound,None,,
2,12.87,67.4,0.8,647.87,Artifact,Weak,,,26,1.94,61.7,0.55,402.79,Artifact,Weak,,
3,12.39,62.9,0.59,490.94,Artifact,Weak,,,27,1.91,3025.9,0.87,30900.26,Compound,None,,
4,11.07,91.2,0.61,533.55,Impurity,Weak,,,28,1.63,80.7,18.58,18551.79,Artifact,Weak,,
5,9.66,77.7,0.69,716.74,Artifact,Weak,,,29,1.54,142.4,3.34,5948.58,Impurity,None,,
6,8.13,239.1,2.47,7972.99,Impurity,None,,,30,1.52,161.4,1.56,3456.63,Compound,None,,
7,7.62,81.6,33.07,39301.44,Artifact,Weak,,,31,1.52,147.3,2.13,4328.9,Compound,None,,
8,7.21,1448.4,6.33,125991.13,Compound,None,,,32,1.5,348.4,10.25,52034.14,Compound,None,,
9,7.09,1494.9,6.1,118322.4,Compound,None,,,33,1.49,142.3,2.26,3994.06,Compound,None,,
10,6.98,275.1,9.95,27630.4,Compound,None,,,34,1.35,482.7,2.12,13767.55,Compound,None,,
11,6.96,1439,5.45,95298.72,Compound,None,,,35,1.3,134.1,1.63,3026.31,Impurity,Weak,,
12,6.92,65.2,0.77,646.9,Artifact,Weak,,,36,1.25,579.5,162.14,1246751.36,Compound,None,,
13,6.53,132.4,1.55,2928.21,Compound,None,,,37,1.25,1169.5,9.34,156158.66,Compound,None,,
14,6.52,1154.6,1.35,19555.73,Compound,None,,,38,1.23,2646.9,3.79,138404.36,Compound,None,,
15,5.75,84.2,1.78,2081.59,Impurity,Weak,,,39,1.19,132.1,1.08,1871.14,Impurity,Weak,,
16,5.58,62.6,0.37,271.43,Artifact,Weak,,,40,1.18,70,1.16,1030.69,Artifact,Weak,,
17,5.11,64.4,0.92,842.93,Artifact,Weak,,,41,1.17,99.8,0.87,1011.74,Impurity,Weak,,
18,4.36,109.8,1.59,2541.63,Impurity,Weak,,,42,1.16,143.9,1.28,2454.61,Compound,None,,
19,4.34,212.6,1.54,3461.83,Impurity,None,,,43,1.15,529.2,3.59,21689.3,Compound,None,,
20,4.33,116.5,2.08,2842.97,Impurity,Weak,,,44,1.11,281.3,1.08,3881.24,Impurity,None,,
21,4.32,75.2,1.82,1997.08,Artifact,Weak,,,45,1.09,182.4,1.3,3296.3,Impurity,Weak,,
22,4.31,99.2,2.87,3856.32,Impurity,Weak,,,46,1.07,501.5,0.9,5435.37,Compound,None,,
23,4.03,134.5,5.99,11456.97,Compound,None,,,47,1.06,216.5,1.96,5106.86,Compound,None,,
24,4.01,63.9,1.12,965.09,Artifact,Weak,,,48,1.05,1042.4,0.96,13173.08,Compound,None,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,49,1.05,2679.8,2.46,79168.44,Compound,None,,
,,,,,,,,,50,1.04,2791.6,2.44,88917.38,Compound,None,,
,,,,,,,,,51,1.04,829.6,2.17,24814.3,Compound,None,,
,,,,,,,,,52,1.03,2566.9,2.16,61312.47,Compound,None,,
,,,,,,,,,53,1.03,2799.2,2.31,84174.05,Compound,None,,
,,,,,,,,,54,1.02,441.6,3.28,18683.23,Compound,None,,
,,,,,,,,,55,1,239.5,3.38,8976.85,Compound,None,,
,,,,,,,,,56,0.86,483.9,3.44,24256.31,Compound,None,,
,,,,,,,,,57,0.86,430.6,1.23,5691.76,Compound,None,,
,,,,,,,,,58,0.85,322.9,1.79,6281.09,Compound,None,,
,,,,,,,,,59,0.85,399.2,2.13,11563.53,Compound,None,,
,,,,,,,,,60,0.84,1182.8,33.48,550725.62,Compound,None,,
,,,,,,,,,61,0.78,122.6,1.08,1603.27,Impurity,Weak,,
,,,,,,,,,62,0.73,116.8,1.32,2030.59,Impurity,Weak,,
,,,,,,,,,63,0.71,73.4,2.11,1457.11,Artifact,Weak,,
,,,,,,,,,64,0.13,183.8,0.97,1917.32,Impurity,Weak,,
,,,,,,,,,65,0.09,91.1,1.07,1055.58,Impurity,Weak,,
,,,,,,,,,66,0.08,4176.9,0.95,49459.68,Compound,None,,
,,,,,,,,,67,0.07,90,1.41,1458.2,Impurity,Weak,,
,,,,,,,,,68,0.07,354,1.26,5568.29,Compound,None,,
,,,,,,,,,69,0.01,76.8,1.22,911.45,CS Reference,Weak,,
,,,,,,,,,70,-0.07,62.7,0.57,523.68,Artifact,Weak,,
,,,,,,,,,71,-0.09,74.1,1.45,1532.57,Artifact,Weak,,