"Core","Core_assignment","texture","sat_level","treatment","flux_co2_nmol_g_s","flux_co2_nmol_gC_s","flux_ch4_nmol_g_s"
16,"Soil_sat_W","SCL",100,"Wetting",0.0798033943063302,0.957000790751631,1.76522757328937e-09
17,"Soil_sat_W","SCL",100,"Wetting",0.0404169351821151,0.484620328710447,1.11131629327081e-08
18,"Soil_sat_W","SCL",100,"Wetting",0.078683192459561,0.943500450676306,8.82337432609666e-09
19,"Soil_sat_W","SCL",100,"Wetting",0.0302390882273926,0.36263071311073,3.13032111337526e-21
20,"Soil_sat_W","SCL",100,"Wetting",0.0840333317609576,1.00774684617743,3.33535123812133e-08
21,"Soil_sat_D","SCL",100,"Drying",0.0244899493446748,0.293682117382461,-3.63183810436251e-09
22,"Soil_sat_D","SCL",100,"Drying",0.0247951952095253,0.297344416596885,-9.77073540870242e-08
23,"Soil_sat_D","SCL",100,"Drying",0.0237719392088374,0.285071779564812,-6.19842413113104e-11
24,"Soil_sat_D","SCL",100,"Drying",0.0203641017210123,0.244156701101205,-8.26901135488399e-08
25,"Soil_sat_D","SCL",100,"Drying",0.027697077049167,0.332095449566751,3.15546750177401e-09
26,"Soil_75_W","SCL",50,"Wetting",0.0222219256107876,0.266415582648646,-6.56466982787031e-09
27,"Soil_75_W","SCL",50,"Wetting",0.0600961499471334,0.720614699660506,7.90325893332897e-11
28,"Soil_75_W","SCL",50,"Wetting",0.020816350325062,0.249623320080051,-5.98223516979271e-10
29,"Soil_75_W","SCL",50,"Wetting",0.0206247086308372,0.247319414022142,2.89027868731995e-21
30,"Soil_75_W","SCL",50,"Wetting",0.0438432799903564,0.525780213632827,8.45182425607313e-11
31,"Soil_75_D","SCL",50,"Drying",0.0118282474320252,0.141831488683493,-1.42102934760756e-09
32,"Soil_75_D","SCL",50,"Drying",0.00585388853966064,0.0701970108517144,6.62689874245369e-08
33,"Soil_75_D","SCL",50,"Drying",0.0176965562645656,0.212211715603803,-2.26618361915956e-08
34,"Soil_75_D","SCL",50,"Drying",0.00127884822099717,0.0153332436609463,-7.67881496018128e-09
35,"Soil_75_D","SCL",50,"Drying",0.018103404287617,0.217065303816321,-1.62402489223816e-08
36,"Soil_dry_W","SCL",5,"Wetting",0.000460809038434532,0.00552581616055602,4.51737807246941e-11
37,"Soil_dry_W","SCL",5,"Wetting",0.000396571829341574,0.00475432818269554,1.41053964607374e-10
38,"Soil_dry_W","SCL",5,"Wetting",0.000158335987640155,0.00189836981214798,2.91050211794886e-21
39,"Soil_dry_W","SCL",5,"Wetting",0.000183271272556444,0.00219731493397891,1.36117742161906e-10
40,"Soil_dry_W","SCL",5,"Wetting",0.000462688161008792,0.00554831730851411,5.51365767363707e-22
41,"Soil_dry_D","SCL",5,"Drying",0.000758812425664033,0.00909993578700917,-7.31636430265766e-09
42,"Soil_dry_D","SCL",5,"Drying",0.000827946210046322,0.0099262287653602,-3.99107773702524e-08
43,"Soil_dry_D","SCL",5,"Drying",0.000138001173922531,0.00165475081884452,5.02421760659424e-21
44,"Soil_dry_D","SCL",5,"Drying",0.00051267128555481,0.00614788866123641,-1.71425537577625e-07
45,"Soil_dry_D","SCL",5,"Drying",0.000544690422839816,0.00653164605343466,-9.24683790340527e-10
71,"Soil_sand_sat_W","SL",100,"Wetting",0.0233279471445504,0.420878515975752,3.39343878012309e-21
72,"Soil_sand_sat_W","SL",100,"Wetting",0.02851306186392,0.51484885253214,-2.39317670442738e-09
73,"Soil_sand_sat_W","SL",100,"Wetting",0.0252787667625469,0.45595921205584,2.80563627609944e-21
74,"Soil_sand_sat_W","SL",100,"Wetting",0.0357504944192067,0.644267071356842,-1.15839403715244e-08
75,"Soil_sand_sat_W","SL",100,"Wetting",0.0225674681414862,0.407017975418263,3.02538131921737e-21
76,"Soil_sand_sat_D","SL",100,"Drying",0.0171059172137442,0.308415088043293,4.99692115440005e-10
77,"Soil_sand_sat_D","SL",100,"Drying",0.0150575738276113,0.271517232274178,-4.64233193206104e-08
78,"Soil_sand_sat_D","SL",100,"Drying",0.0201336701771026,0.363432479231495,2.85513308930758e-09
79,"Soil_sand_sat_D","SL",100,"Drying",0.0184942216934858,0.334031451971663,2.37573164047824e-21
80,"Soil_sand_sat_D","SL",100,"Drying",0.0179071648967093,0.323022106339636,-2.77473710735144e-08
81,"Soil_sand_75_W","SL",75,"Wetting",0.0495033256813316,0.892414927669315,2.23397727709e-21
82,"Soil_sand_75_W","SL",75,"Wetting",0.0150224980091105,0.271134879349313,5.80880074018943e-09
83,"Soil_sand_75_W","SL",75,"Wetting",0.0420608308864247,0.758568711535728,2.40876001673812e-21
84,"Soil_sand_75_W","SL",75,"Wetting",0.025812433933311,0.465641846340301,-5.96019166731318e-09
85,"Soil_sand_75_W","SL",75,"Wetting",0.0446874541620895,0.805702783289382,2.86012518360545e-21
86,"Soil_sand_75_D","SL",75,"Drying",0.0221350557590104,0.399801013593531,4.23042974174134e-09
87,"Soil_sand_75_D","SL",75,"Drying",0.0215116040610597,0.387456143408467,8.33838692833683e-22
88,"Soil_sand_75_D","SL",75,"Drying",0.0227811762733251,0.410905694877968,1.54129443350187e-22
89,"Soil_sand_75_D","SL",75,"Drying",0.0156899304639673,0.282767257317094,-1.05009695722048e-08
90,"Soil_sand_75_D","SL",75,"Drying",0.0201911435332691,0.364008131779256,1.05088226467123e-21
91,"Soil_sand_dry_W","SL",5,"Wetting",0.000242557587981891,0.00438110466542713,1.97899369368085e-07
92,"Soil_sand_dry_W","SL",5,"Wetting",0.000573246152758103,0.0103427164219683,-4.35305327517686e-10
93,"Soil_sand_dry_W","SL",5,"Wetting",0.000552189279212437,0.00995111747494363,1.63955733384037e-21
94,"Soil_sand_dry_W","SL",5,"Wetting",0.000617654687930023,0.0111518444935443,3.62748575540701e-11
95,"Soil_sand_dry_W","SL",5,"Wetting",9.80607913974359e-05,0.00177163580298435,-1.90928605142803e-21
96,"Soil_sand_dry_D","SL",5,"Drying",0.000167874934404705,0.00302254203351358,-4.06732521043814e-08
97,"Soil_sand_dry_D","SL",5,"Drying",0.000616232371444123,0.0111095961576047,-7.83895499522445e-11
98,"Soil_sand_dry_D","SL",5,"Drying",0.000162693802829865,0.00294107217663108,1.86511148718435e-10
99,"Soil_sand_dry_D","SL",5,"Drying",0.000899463725039156,0.0162394833994782,2.23061779073731e-21
100,"Soil_sand_dry_D","SL",5,"Drying",9.07189297305615e-05,0.00163494356268232,-6.4261700184774e-21
111,"Soil_50_W","SCL",35,"Wetting",0.0464361078813045,0.556729599575011,3.67960364728699e-21
112,"Soil_50_W","SCL",35,"Wetting",0.00303515735390905,0.0363970026530294,5.61129622368262e-21
113,"Soil_50_W","SCL",35,"Wetting",0.0274892817995684,0.329654710053367,3.78233828126122e-21
114,"Soil_50_W","SCL",35,"Wetting",0.0392281810726682,0.470428974889932,4.53813879637047e-21
115,"Soil_50_W","SCL",35,"Wetting",0.021137289109691,0.253424317227207,5.61681606715214e-09
116,"Soil_50_D","SCL",35,"Drying",0.0255494044492978,0.306317991752828,1.38535032733186e-10
117,"Soil_50_D","SCL",35,"Drying",0.0132531942442311,0.158934835811209,-7.62335266371216e-08
118,"Soil_50_D","SCL",35,"Drying",0.0140940741622449,0.168980519320917,-6.37395551488676e-08
119,"Soil_50_D","SCL",35,"Drying",0.0259439355173131,0.311071482166307,3.67745338107966e-08
120,"Soil_50_D","SCL",35,"Drying",0.0192302637521745,0.230580356772945,2.38526515998675e-07
121,"Soil_sand_50_W","SL",50,"Wetting",0.00906192006754764,0.163438735656874,7.48242736507386e-09
122,"Soil_sand_50_W","SL",50,"Wetting",0.0238519162126205,0.430689576516328,1.97162793593136e-08
123,"Soil_sand_50_W","SL",50,"Wetting",0.00809057149638384,0.145968597394959,2.02794751987704e-21
124,"Soil_sand_50_W","SL",50,"Wetting",0.0105253840234232,0.190041813444118,2.25064439861486e-21
125,"Soil_sand_50_W","SL",50,"Wetting",0.0184224060390898,0.332542484370785,2.97269360890659e-21
126,"Soil_sand_50_D","SL",50,"Drying",0.0166224996716819,0.299696663872007,-5.11777557017821e-09
127,"Soil_sand_50_D","SL",50,"Drying",0.0134721918505198,0.243417697327816,4.59584763325983e-08
128,"Soil_sand_50_D","SL",50,"Drying",0.0177222774256852,0.319580020872791,-8.50588701959243e-11
129,"Soil_sand_50_D","SL",50,"Drying",0.0127960593340695,0.231281776294878,-4.37959701638937e-08
130,"Soil_sand_50_D","SL",50,"Drying",0.016458671888219,0.297266581933721,5.01057832854415e-09
131,"Soil_fm","SCL",NA,"FM",0.00577222016376037,0.0692123383543803,-1.70662871753708e-08
132,"Soil_fm","SCL",NA,"FM",0.00187315716084394,0.0224615949929698,-1.24689901955879e-10
133,"Soil_fm","SCL",NA,"FM",0.00707328726377305,0.0848010699371139,6.96145633900619e-09
134,"Soil_fm","SCL",NA,"FM",0.0132060106159855,0.158343641269933,7.16689238366786e-22
135,"Soil_fm","SCL",NA,"FM",0.0108491324620607,0.130084034355013,1.37197409125522e-08
136,"Soil_sand_fm","SL",NA,"FM",0.00521631812417476,0.0941385438317877,9.78148295548738e-10
137,"Soil_sand_fm","SL",NA,"FM",0.00501874951829212,0.0905620419354962,4.77884909102399e-11
138,"Soil_sand_fm","SL",NA,"FM",0.0131885508038008,0.237636403769222,-4.33949283215537e-08
139,"Soil_sand_fm","SL",NA,"FM",0.00277576241595091,0.05000004940635,6.34442207721257e-09
140,"Soil_sand_fm","SL",NA,"FM",0.00679879396775343,0.122774431265997,-6.30893447533358e-09
141,"Soil_100_W","SCL",75,"Wetting",0.0862069931816503,1.03355908118161,2.63193377927398e-21
142,"Soil_100_W","SCL",75,"Wetting",0.0501581748009129,0.601426221985501,-1.32908716986269e-09
143,"Soil_100_W","SCL",75,"Wetting",0.0640310092788153,0.76768518045738,2.83914426175618e-21
144,"Soil_100_W","SCL",75,"Wetting",0.0426108339609896,0.510973104438472,3.01313998874365e-21
145,"Soil_100_W","SCL",75,"Wetting",0.0801469203600808,0.961063216978786,1.17049777965473e-21
146,"Soil_100_D","SCL",75,"Drying",0.0215874101322138,0.258809717195978,-4.5138152750974e-08
147,"Soil_100_D","SCL",75,"Drying",0.0172267969034974,0.206548405734447,3.08342261823716e-09
148,"Soil_100_D","SCL",75,"Drying",0.0159316065439149,0.191008362704158,3.17318022410565e-22
149,"Soil_100_D","SCL",75,"Drying",0.0134693435950265,0.161482872901104,2.3211960187043e-08
150,"Soil_100_D","SCL",75,"Drying",0.0306937551167369,0.368005683247629,-7.95086890409612e-22
151,"Soil_sand_100_W","SL",35,"Wetting",0.0260063973227602,0.469793399866172,2.17738478188828e-21
152,"Soil_sand_100_W","SL",35,"Wetting",0.015531943379894,0.279954375063468,3.86277029353501e-08
153,"Soil_sand_100_W","SL",35,"Wetting",0.0124184385376222,0.224114728581907,-2.77767798699207e-09
154,"Soil_sand_100_W","SL",35,"Wetting",0.0118214282507345,0.213414258717243,3.74539813033369e-21
155,"Soil_sand_100_W","SL",35,"Wetting",0.00765587480554408,0.137871067621589,-5.26411541845807e-08
156,"Soil_sand_100_D","SL",35,"Drying",0.00295582727872121,0.053357134593853,1.31171623363913e-21
157,"Soil_sand_100_D","SL",35,"Drying",0.00543070738653581,0.0979957155236211,2.34681019225451e-21
158,"Soil_sand_100_D","SL",35,"Drying",0.0128491538093711,0.23156844298031,4.3108454707559e-09
159,"Soil_sand_100_D","SL",35,"Drying",0.00833872232765593,0.150230803355894,2.73873074141407e-21
160,"Soil_sand_100_D","SL",35,"Drying",0.00560624569196755,0.101070007118027,-1.49155580363321e-07
