"pore_um","texture","treatment","vol_water_perc","start","stop","Diff","Diff_perc"
2727.27,"SCL","drying",73.72,2720,2730,0.0300000000000011,0.04
2727.27,"SL","drying",61.74,2720,2730,0.0599999999999952,0.1
2500,"SCL","drying",73.66,2490,2500,0.0600000000000023,0.08
2500,"SL","drying",61.62,2490,2500,0.120000000000005,0.19
2307.69,"SCL","drying",73.6,2300,2310,0.0600000000000023,0.08
2307.69,"SL","drying",61.5,2300,2310,0.119999999999997,0.19
2142.86,"SCL","drying",73.54,2140,2150,0.0599999999999881,0.08
2142.86,"SL","drying",61.41,2140,2150,0.0900000000000034,0.15
2000,"SCL","drying",73.48,1990,2000,0.0600000000000023,0.08
2000,"SL","drying",61.3,1990,2000,0.109999999999999,0.18
1875,"SCL","drying",73.42,1870,1880,0.0600000000000023,0.08
1875,"SL","drying",61.18,1870,1880,0.119999999999997,0.19
1764.71,"SCL","drying",73.37,1760,1770,0.0499999999999972,0.07
1764.71,"SL","drying",61.09,1760,1770,0.0899999999999963,0.15
1666.67,"SCL","drying",73.29,1660,1670,0.0799999999999983,0.11
1666.67,"SL","drying",60.95,1660,1670,0.140000000000001,0.23
1578.95,"SCL","drying",73.2,1570,1580,0.0900000000000034,0.12
1578.95,"SL","drying",60.81,1570,1580,0.140000000000001,0.23
1500,"SCL","drying",73.14,1490,1500,0.0600000000000023,0.08
1500,"SL","drying",60.7,1490,1500,0.109999999999999,0.18
1428.57,"SCL","drying",73.07,1420,1430,0.0700000000000074,0.09
1428.57,"SL","drying",60.59,1420,1430,0.109999999999999,0.18
1363.64,"SCL","drying",72.99,1360,1370,0.0799999999999983,0.11
1363.64,"SL","drying",60.47,1360,1370,0.120000000000005,0.19
1304.35,"SCL","drying",72.91,1300,1310,0.0799999999999983,0.11
1304.35,"SL","drying",60.34,1300,1310,0.129999999999995,0.21
1250,"SCL","drying",72.83,1240,1250,0.0799999999999983,0.11
1250,"SL","drying",60.21,1240,1250,0.130000000000003,0.21
1153.85,"SCL","drying",72.74,1150,1160,0.0900000000000034,0.12
1153.85,"SL","drying",60.07,1150,1160,0.140000000000001,0.23
1111.11,"SCL","drying",72.64,1110,1120,0.0999999999999943,0.14
1111.11,"SL","drying",59.92,1110,1120,0.149999999999999,0.24
1071.43,"SCL","drying",72.53,1070,1080,0.109999999999999,0.15
1071.43,"SL","drying",59.76,1070,1080,0.160000000000004,0.26
1034.48,"SCL","drying",72.42,1030,1040,0.109999999999999,0.15
1034.48,"SL","drying",59.6,1030,1040,0.159999999999997,0.26
967.74,"SCL","drying",72.3,960,970,0.120000000000005,0.16
967.74,"SL","drying",59.43,960,970,0.170000000000002,0.28
937.5,"SCL","drying",72.17,930,940,0.129999999999995,0.18
937.5,"SL","drying",59.25,930,940,0.18,0.29
882.35,"SCL","drying",72.03,880,890,0.140000000000001,0.19
882.35,"SL","drying",59.06,880,890,0.189999999999998,0.31
857.14,"SCL","drying",71.88,850,860,0.150000000000006,0.2
857.14,"SL","drying",58.86,850,860,0.200000000000003,0.32
810.81,"SCL","drying",71.72,810,820,0.159999999999997,0.22
810.81,"SL","drying",58.65,810,820,0.210000000000001,0.34
769.23,"SCL","drying",71.55,760,770,0.170000000000002,0.23
769.23,"SL","drying",58.43,760,770,0.219999999999999,0.36
750,"SCL","drying",71.37,740,750,0.179999999999993,0.24
750,"SL","drying",58.2,740,750,0.229999999999997,0.37
714.29,"SCL","drying",71.18,710,720,0.189999999999998,0.26
714.29,"SL","drying",57.96,710,720,0.240000000000002,0.39
681.82,"SCL","drying",70.97,680,690,0.210000000000008,0.28
681.82,"SL","drying",57.71,680,690,0.25,0.4
652.17,"SCL","drying",70.75,650,660,0.219999999999999,0.3
652.17,"SL","drying",57.45,650,660,0.259999999999998,0.42
612.24,"SCL","drying",70.52,610,620,0.230000000000004,0.31
612.24,"SL","drying",57.18,610,620,0.270000000000003,0.44
588.24,"SCL","drying",70.27,580,590,0.25,0.34
588.24,"SL","drying",56.9,580,590,0.280000000000001,0.45
566.04,"SCL","drying",70.01,560,570,0.259999999999991,0.35
566.04,"SL","drying",56.61,560,570,0.289999999999999,0.47
535.71,"SCL","drying",69.73,530,540,0.280000000000001,0.38
535.71,"SL","drying",56.3,530,540,0.310000000000002,0.5
508.47,"SCL","drying",69.43,500,510,0.299999999999997,0.41
508.47,"SL","drying",55.99,500,510,0.309999999999995,0.5
491.8,"SCL","drying",69.12,490,500,0.310000000000002,0.42
491.8,"SL","drying",55.66,490,500,0.330000000000005,0.53
468.75,"SCL","drying",68.79,460,470,0.329999999999998,0.45
468.75,"SL","drying",55.33,460,470,0.329999999999998,0.53
447.76,"SCL","drying",68.44,440,450,0.350000000000009,0.47
447.76,"SL","drying",54.98,440,450,0.350000000000001,0.57
428.57,"SCL","drying",68.08,420,430,0.359999999999999,0.49
428.57,"SL","drying",54.62,420,430,0.359999999999999,0.58
405.41,"SCL","drying",67.69,400,410,0.390000000000001,0.53
405.41,"SL","drying",54.26,400,410,0.359999999999999,0.58
389.61,"SCL","drying",67.29,380,390,0.399999999999991,0.54
389.61,"SL","drying",53.88,380,390,0.379999999999995,0.62
370.37,"SCL","drying",66.86,370,380,0.430000000000007,0.58
370.37,"SL","drying",53.49,370,380,0.390000000000001,0.63
352.94,"SCL","drying",66.41,350,360,0.450000000000003,0.61
352.94,"SL","drying",53.09,350,360,0.399999999999999,0.65
337.08,"SCL","drying",65.95,330,340,0.459999999999994,0.62
337.08,"SL","drying",52.69,330,340,0.400000000000006,0.65
322.58,"SCL","drying",65.46,320,330,0.490000000000009,0.66
322.58,"SL","drying",52.27,320,330,0.419999999999995,0.68
309.28,"SCL","drying",64.95,300,310,0.509999999999991,0.69
309.28,"SL","drying",51.84,300,310,0.43,0.7
294.12,"SCL","drying",64.42,290,300,0.530000000000001,0.72
294.12,"SL","drying",51.41,290,300,0.430000000000007,0.7
280.37,"SCL","drying",63.88,280,290,0.539999999999999,0.73
280.37,"SL","drying",50.97,280,290,0.439999999999998,0.71
267.86,"SCL","drying",63.31,260,270,0.57,0.77
267.86,"SL","drying",50.52,260,270,0.449999999999996,0.73
256.41,"SCL","drying",62.72,250,260,0.590000000000003,0.8
256.41,"SL","drying",50.07,250,260,0.450000000000003,0.73
245.9,"SCL","drying",62.11,240,250,0.609999999999999,0.83
245.9,"SL","drying",49.61,240,250,0.460000000000001,0.75
234.38,"SCL","drying",61.48,230,240,0.630000000000003,0.85
234.38,"SL","drying",49.14,230,240,0.469999999999999,0.76
223.88,"SCL","drying",60.84,220,230,0.639999999999993,0.87
223.88,"SL","drying",48.67,220,230,0.469999999999999,0.76
212.77,"SCL","drying",60.18,210,220,0.660000000000004,0.9
212.77,"SL","drying",48.19,210,220,0.480000000000004,0.78
204.08,"SCL","drying",59.5,200,210,0.68,0.92
204.08,"SL","drying",47.71,200,210,0.479999999999997,0.78
194.81,"SCL","drying",58.81,190,200,0.689999999999998,0.94
194.81,"SL","drying",47.22,190,200,0.490000000000002,0.79
186.34,"SCL","drying",58.1,180,190,0.710000000000001,0.96
186.34,"SL","drying",46.74,180,190,0.479999999999997,0.78
177.51,"SCL","drying",57.38,170,180,0.719999999999999,0.98
177.51,"SL","drying",46.24,170,180,0.5,0.81
169.49,"SCL","drying",56.65,160,170,0.730000000000004,0.99
169.49,"SL","drying",45.75,160,170,0.490000000000002,0.79
161.29,"SCL","drying",55.9,160,170,0.75,1.02
161.29,"SL","drying",45.26,160,170,0.490000000000002,0.79
153.85,"SCL","drying",55.15,150,160,0.75,1.02
153.85,"SL","drying",44.76,150,160,0.5,0.81
147.06,"SCL","drying",54.39,140,150,0.759999999999998,1.03
147.06,"SL","drying",44.27,140,150,0.489999999999995,0.79
140.85,"SCL","drying",53.62,140,150,0.770000000000003,1.04
140.85,"SL","drying",43.77,140,150,0.5,0.81
134.53,"SCL","drying",52.85,130,140,0.769999999999996,1.04
134.53,"SL","drying",43.28,130,140,0.490000000000002,0.79
128.21,"SCL","drying",52.07,120,130,0.780000000000001,1.06
128.21,"SL","drying",42.79,120,130,0.490000000000002,0.79
122.45,"SCL","drying",51.29,120,130,0.780000000000001,1.06
122.45,"SL","drying",42.29,120,130,0.5,0.81
117.19,"SCL","drying",50.51,110,120,0.780000000000001,1.06
117.19,"SL","drying",41.8,110,120,0.490000000000002,0.79
111.52,"SCL","drying",49.73,110,120,0.780000000000001,1.06
111.52,"SL","drying",41.31,110,120,0.489999999999995,0.79
106.76,"SCL","drying",48.95,100,110,0.779999999999994,1.06
106.76,"SL","drying",40.83,100,110,0.480000000000004,0.78
102.04,"SCL","drying",48.17,100,110,0.780000000000001,1.06
102.04,"SL","drying",40.35,100,110,0.479999999999997,0.78
97.4,"SCL","drying",47.4,90,100,0.770000000000003,1.04
97.4,"SL","drying",39.87,90,100,0.480000000000004,0.78
92.88,"SCL","drying",46.63,90,100,0.769999999999996,1.04
92.88,"SL","drying",39.39,90,100,0.479999999999997,0.78
88.76,"SCL","drying",45.86,80,90,0.770000000000003,1.04
88.76,"SL","drying",38.92,80,90,0.469999999999999,0.76
84.75,"SCL","drying",45.1,80,90,0.759999999999998,1.03
84.75,"SL","drying",38.45,80,90,0.469999999999999,0.76
80.86,"SCL","drying",44.35,80,90,0.75,1.02
80.86,"SL","drying",37.99,80,90,0.460000000000001,0.75
77.32,"SCL","drying",43.61,70,80,0.740000000000002,1
77.32,"SL","drying",37.53,70,80,0.460000000000001,0.75
73.89,"SCL","drying",42.88,70,80,0.729999999999997,0.99
73.89,"SL","drying",37.08,70,80,0.450000000000003,0.73
70.42,"SCL","drying",42.15,70,80,0.730000000000004,0.99
70.42,"SL","drying",36.63,70,80,0.449999999999996,0.73
67.26,"SCL","drying",41.44,60,70,0.710000000000001,0.96
67.26,"SL","drying",36.18,60,70,0.450000000000003,0.73
64.24,"SCL","drying",40.74,60,70,0.699999999999996,0.95
64.24,"SL","drying",35.74,60,70,0.439999999999998,0.71
61.35,"SCL","drying",40.05,60,70,0.690000000000005,0.94
61.35,"SL","drying",35.31,60,70,0.43,0.7
58.59,"SCL","drying",39.37,50,60,0.68,0.92
58.59,"SL","drying",34.88,50,60,0.43,0.7
55.97,"SCL","drying",38.7,50,60,0.669999999999995,0.91
55.97,"SL","drying",34.46,50,60,0.420000000000002,0.68
53.48,"SCL","drying",38.04,50,60,0.660000000000004,0.9
53.48,"SL","drying",34.04,50,60,0.420000000000002,0.68
50.93,"SCL","drying",37.4,50,60,0.640000000000001,0.87
50.93,"SL","drying",33.63,50,60,0.409999999999997,0.66
48.62,"SCL","drying",36.77,40,50,0.629999999999995,0.85
48.62,"SL","drying",33.23,40,50,0.400000000000006,0.65
46.44,"SCL","drying",36.15,40,50,0.620000000000005,0.84
46.44,"SL","drying",32.83,40,50,0.399999999999999,0.65
44.38,"SCL","drying",35.55,40,50,0.600000000000001,0.81
44.38,"SL","drying",32.43,40,50,0.399999999999999,0.65
42.37,"SCL","drying",34.96,40,50,0.589999999999996,0.8
42.37,"SL","drying",32.05,40,50,0.380000000000003,0.62
40.49,"SCL","drying",34.38,40,50,0.579999999999998,0.79
40.49,"SL","drying",31.66,40,50,0.389999999999997,0.63
38.66,"SCL","drying",33.81,30,40,0.57,0.77
38.66,"SL","drying",31.29,30,40,0.370000000000001,0.6
36.9,"SCL","drying",33.26,30,40,0.550000000000004,0.75
36.9,"SL","drying",30.92,30,40,0.369999999999997,0.6
35.25,"SCL","drying",32.72,30,40,0.539999999999999,0.73
35.25,"SL","drying",30.55,30,40,0.370000000000001,0.6
33.67,"SCL","drying",32.19,30,40,0.530000000000001,0.72
33.67,"SL","drying",30.2,30,40,0.350000000000001,0.57
32.15,"SCL","drying",31.68,30,40,0.509999999999998,0.69
32.15,"SL","drying",29.84,30,40,0.359999999999999,0.58
30.71,"SCL","drying",31.18,30,40,0.5,0.68
30.71,"SL","drying",29.5,30,40,0.34,0.55
29.33,"SCL","drying",30.69,20,30,0.489999999999998,0.66
29.33,"SL","drying",29.16,20,30,0.34,0.55
27.99,"SCL","drying",30.21,20,30,0.48,0.65
27.99,"SL","drying",28.82,20,30,0.34,0.55
26.74,"SCL","drying",29.75,20,30,0.460000000000001,0.62
26.74,"SL","drying",28.49,20,30,0.330000000000002,0.53
25.53,"SCL","drying",29.29,20,30,0.460000000000001,0.62
25.53,"SL","drying",28.17,20,30,0.319999999999997,0.52
24.39,"SCL","drying",28.85,20,30,0.439999999999998,0.6
24.39,"SL","drying",27.85,20,30,0.32,0.52
23.29,"SCL","drying",28.42,20,30,0.43,0.58
23.29,"SL","drying",27.54,20,30,0.310000000000002,0.5
22.24,"SCL","drying",28,20,30,0.420000000000002,0.57
22.24,"SL","drying",27.23,20,30,0.309999999999999,0.5
21.23,"SCL","drying",27.6,20,30,0.399999999999999,0.54
21.23,"SL","drying",26.93,20,30,0.300000000000001,0.49
20.28,"SCL","drying",27.2,20,30,0.400000000000002,0.54
20.28,"SL","drying",26.63,20,30,0.300000000000001,0.49
19.37,"SCL","drying",26.81,10,20,0.390000000000001,0.53
19.37,"SL","drying",26.34,10,20,0.289999999999999,0.47
18.5,"SCL","drying",26.44,10,20,0.369999999999997,0.5
18.5,"SL","drying",26.05,10,20,0.289999999999999,0.47
17.67,"SCL","drying",26.07,10,20,0.370000000000001,0.5
17.67,"SL","drying",25.77,10,20,0.280000000000001,0.45
16.84,"SCL","drying",25.72,10,20,0.350000000000001,0.47
16.84,"SL","drying",25.49,10,20,0.280000000000001,0.45
16.08,"SCL","drying",25.37,10,20,0.349999999999998,0.47
16.08,"SL","drying",25.22,10,20,0.27,0.44
15.35,"SCL","drying",25.04,10,20,0.330000000000002,0.45
